PROMPT_ID,PROMPT,GOLDEN_SQL_QUERY
3,"Give me all invoices for 26 Broadway, 24th Floor, New York, NY 10004","SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND, CUSTOMER_ADDRESS FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND REGEXP_REPLACE(ac.CUSTOMER_ADDRESS, '[^a-zA-Z0-9]', '') ILIKE '26Broadway24thFloorNewYorkNY10004%'"
4,Give me all invoices for Albertsons for Drive,"SELECT A.INVOICE_NUMBER, A.INVOICE_TRANSACTION_DATE, A.INVOICE_MEMO, A.INVOICE_STATUS, A.INVOICE_ORIGINAL_AMOUNT_LOCAL, A.INVOICE_OPEN_AMOUNT_LOCAL, A.INVOICE_DUE_AMOUNT_LOCAL,  C.CUSTOMER_NAME, C.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE A JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER C ON A.AR_CUSTOMER_FK = C.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT G ON A.AR_GL_ACCOUNT_FK = G.AR_GL_ACCOUNT_PK WHERE ( REGEXP_REPLACE(c.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'Albertsons%' OR REGEXP_REPLACE(c.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'Albertsons%') AND A.BUSINESS_UNIT = 'Drive' AND G.GL_ACCOUNT_NUMBER = '1300'"
9,Give me all invoices with memo containing Redcard Grocery,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_MEMO ILIKE '%Redcard Grocery%' AND aga.GL_ACCOUNT_NUMBER = '1300';"
10,Give me all invoices with memo Failed Payments for Q1,"SELECT a.INVOICE_NUMBER, a.INVOICE_TRANSACTION_DATE, a.INVOICE_MEMO, a.INVOICE_STATUS, a.INVOICE_ORIGINAL_AMOUNT_LOCAL, a.INVOICE_OPEN_AMOUNT_LOCAL, a.INVOICE_DUE_AMOUNT_LOCAL, c.CUSTOMER_NAME, c.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE a JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER c ON a.AR_CUSTOMER_FK = c.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT g ON a.AR_GL_ACCOUNT_FK = g.AR_GL_ACCOUNT_PK WHERE g.GL_ACCOUNT_NUMBER = '1300' AND a.INVOICE_MEMO = 'Failed Payments' AND a.INVOICE_TRANSACTION_DATE BETWEEN '2024-01-01' AND '2024-03-31';"
11,Give me all June 2023 invoices for brand STAN'S DONUTS & COFFEE,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_TRANSACTION_DATE BETWEEN '2023-06-01' AND '2023-06-30' AND REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'STANSDONUTSCOFFEE%'"
14,Give me all open invoices with memo containing ARSD,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_MEMO ILIKE '%ARSD%' and ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND aga.GL_ACCOUNT_NUMBER = '1300';"
15,Give me all overdue invoices for customer Olo with a memo that contains Drive,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ( REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^A-Z0-9]', '') LIKE 'OLO%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^A-Z0-9]', '') LIKE 'OLO%' ) AND UPPER(ai.INVOICE_MEMO) LIKE '%DRIVE%' AND ai.INVOICE_STATUS = 'PAST DUE';"
16,Give me all overdue invoices for McDonald's in Drive,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS = 'PAST DUE' AND ( REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' ) AND ai.BUSINESS_UNIT = 'Drive'"
17,Give me all overdue invoices for McDonalds in Drive,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS = 'PAST DUE' AND ( REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'McDonalds%' ) AND ai.BUSINESS_UNIT = 'Drive'"
19,Give me all the Albertsons invoices for subsidiaries DoorDash Inc & G&C,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.COMMON.DIM_SUBSIDIARY ds ON ai.SUBSIDIARY_FK = ds.SUBSIDIARY_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE ( REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%' ) AND ds.SUBSIDIARY_NAME IN ('DashLink Inc', 'Doordash G&C, LLC') AND aga.GL_ACCOUNT_NUMBER = '1300'"
